2,254098.2290,3339081.2680,57.0730
3,254102.9570,3339068.1450,57.0720
4,254105.2350,3339067.0370,57.0580
5,254112.2830,3339077.2970,57.0670
6,254113.5320,3339077.7620,57.0620
7,254114.1910,3339075.8780,57.0610
8,254112.9570,3339075.4430,57.0740
9,254120.8340,3339089.4540,57.0990
10,254122.7720,3339084.1830,57.0620
11,254135.2510,3339088.6970,57.0680
12,254138.0600,3339080.9710,57.0800
13,254136.9960,3339078.6390,57.0690
14,254126.2400,3339074.7130,57.0750
15,254124.6220,3339114.1710,48.8940
16,254150.2500,3339100.8260,48.8250
17,254175.5240,3339035.2220,48.6730
18,254176.5030,3339018.4410,48.5560
19,254113.3270,3338989.9650,49.2900
20,254079.6150,3338975.9270,49.5650
21,254080.0340,3338973.4660,49.5690
22,254058.3590,3338979.0210,49.7880
23,254022.7540,3338984.0710,52.0620
24,254014.2210,3339021.2360,51.3190
25,254012.3210,3339074.2830,50.2160
26,254016.5480,3339062.0310,50.2150
27,253910.5820,3339068.5220,50.7480
28,253855.0670,3339044.4310,51.1100
29,253835.2430,3338899.4140,52.7450
30,253881.7560,3338871.2510,53.5290
31,253884.0750,3338883.3360,53.3570
32,253894.4030,3338903.3930,53.1140
33,253970.8220,3338928.8740,52.8710
34,253985.7120,3338908.0790,53.1250
35,253995.8900,3338898.2690,53.3120
